#       i  cr  sl  tb  dcc  spigot  fiber/slb  fibcha/slbcha  subdet  ieta  iphi  depth
 4340280E  20   1   u    0       0          0              0      HB   -10    14      4
 4340240E  20   1   u    0       0          0              1      HB    -9    14      4
 4340300E  20   1   u    0       0          0              2      HB   -12    14      4
 43402C0E  20   1   u    0       0          0              3      HB   -11    14      4
 4320280E  20   1   u    0       0          0              4      HB   -10    14      2
 4320240E  20   1   u    0       0          0              5      HB    -9    14      2
 4320300E  20   1   u    0       0          0              6      HB   -12    14      2
 43202C0E  20   1   u    0       0          0              7      HB   -11    14      2
 4310280D  20   1   u    0       0          1              0      HB   -10    13      1
 4310240D  20   1   u    0       0          1              1      HB    -9    13      1
 4310300D  20   1   u    0       0          1              2      HB   -12    13      1
 43102C0D  20   1   u    0       0          1              3      HB   -11    13      1
 4330280D  20   1   u    0       0          1              4      HB   -10    13      3
 4330240D  20   1   u    0       0          1              5      HB    -9    13      3
 4330300D  20   1   u    0       0          1              6      HB   -12    13      3
 43302C0D  20   1   u    0       0          1              7      HB   -11    13      3
 4340280C  20   1   u    0       0          2              0      HB   -10    12      4
 4340240C  20   1   u    0       0          2              1      HB    -9    12      4
 4340300C  20   1   u    0       0          2              2      HB   -12    12      4
 43402C0C  20   1   u    0       0          2              3      HB   -11    12      4
 4320280C  20   1   u    0       0          2              4      HB   -10    12      2
 4320240C  20   1   u    0       0          2              5      HB    -9    12      2
 4320300C  20   1   u    0       0          2              6      HB   -12    12      2
 43202C0C  20   1   u    0       0          2              7      HB   -11    12      2
 4310280B  20   1   u    0       0          3              0      HB   -10    11      1
 4310240B  20   1   u    0       0          3              1      HB    -9    11      1
 4310300B  20   1   u    0       0          3              2      HB   -12    11      1
 43102C0B  20   1   u    0       0          3              3      HB   -11    11      1
 4330280B  20   1   u    0       0          3              4      HB   -10    11      3
 4330240B  20   1   u    0       0          3              5      HB    -9    11      3
 4330300B  20   1   u    0       0          3              6      HB   -12    11      3
 43302C0B  20   1   u    0       0          3              7      HB   -11    11      3
 4310100E  20   1   u    0       0          4              0      HB    -4    14      1
 43100C0E  20   1   u    0       0          4              1      HB    -3    14      1
 4310080E  20   1   u    0       0          4              2      HB    -2    14      1
 4310040E  20   1   u    0       0          4              3      HB    -1    14      1
 4330100E  20   1   u    0       0          4              4      HB    -4    14      3
 43300C0E  20   1   u    0       0          4              5      HB    -3    14      3
 4330080E  20   1   u    0       0          4              6      HB    -2    14      3
 4330040E  20   1   u    0       0          4              7      HB    -1    14      3
 4340100D  20   1   u    0       0          5              0      HB    -4    13      4
 43400C0D  20   1   u    0       0          5              1      HB    -3    13      4
 4340080D  20   1   u    0       0          5              2      HB    -2    13      4
 4340040D  20   1   u    0       0          5              3      HB    -1    13      4
 4320100D  20   1   u    0       0          5              4      HB    -4    13      2
 43200C0D  20   1   u    0       0          5              5      HB    -3    13      2
 4320080D  20   1   u    0       0          5              6      HB    -2    13      2
 4320040D  20   1   u    0       0          5              7      HB    -1    13      2
 4310100C  20   1   u    0       0          6              0      HB    -4    12      1
 43100C0C  20   1   u    0       0          6              1      HB    -3    12      1
 4310080C  20   1   u    0       0          6              2      HB    -2    12      1
 4310040C  20   1   u    0       0          6              3      HB    -1    12      1
 4330100C  20   1   u    0       0          6              4      HB    -4    12      3
 43300C0C  20   1   u    0       0          6              5      HB    -3    12      3
 4330080C  20   1   u    0       0          6              6      HB    -2    12      3
 4330040C  20   1   u    0       0          6              7      HB    -1    12      3
 4340100B  20   1   u    0       0          7              0      HB    -4    11      4
 43400C0B  20   1   u    0       0          7              1      HB    -3    11      4
 4340080B  20   1   u    0       0          7              2      HB    -2    11      4
 4340040B  20   1   u    0       0          7              3      HB    -1    11      4
 4320100B  20   1   u    0       0          7              4      HB    -4    11      2
 43200C0B  20   1   u    0       0          7              5      HB    -3    11      2
 4320080B  20   1   u    0       0          7              6      HB    -2    11      2
 4320040B  20   1   u    0       0          7              7      HB    -1    11      2
 4340080E  20   1   u    0       0          8              0      HB    -2    14      4
 4340040E  20   1   u    0       0          8              1      HB    -1    14      4
 4340100E  20   1   u    0       0          8              2      HB    -4    14      4
 43400C0E  20   1   u    0       0          8              3      HB    -3    14      4
 4320080E  20   1   u    0       0          8              4      HB    -2    14      2
 4320040E  20   1   u    0       0          8              5      HB    -1    14      2
 4320100E  20   1   u    0       0          8              6      HB    -4    14      2
 43200C0E  20   1   u    0       0          8              7      HB    -3    14      2
 4310080D  20   1   u    0       0          9              0      HB    -2    13      1
 4310040D  20   1   u    0       0          9              1      HB    -1    13      1
 4310100D  20   1   u    0       0          9              2      HB    -4    13      1
 43100C0D  20   1   u    0       0          9              3      HB    -3    13      1
 4330080D  20   1   u    0       0          9              4      HB    -2    13      3
 4330040D  20   1   u    0       0          9              5      HB    -1    13      3
 4330100D  20   1   u    0       0          9              6      HB    -4    13      3
 43300C0D  20   1   u    0       0          9              7      HB    -3    13      3
 4340080C  20   1   u    0       0         10              0      HB    -2    12      4
 4340040C  20   1   u    0       0         10              1      HB    -1    12      4
 4340100C  20   1   u    0       0         10              2      HB    -4    12      4
 43400C0C  20   1   u    0       0         10              3      HB    -3    12      4
 4320080C  20   1   u    0       0         10              4      HB    -2    12      2
 4320040C  20   1   u    0       0         10              5      HB    -1    12      2
 4320100C  20   1   u    0       0         10              6      HB    -4    12      2
 43200C0C  20   1   u    0       0         10              7      HB    -3    12      2
 4310080B  20   1   u    0       0         11              0      HB    -2    11      1
 4310040B  20   1   u    0       0         11              1      HB    -1    11      1
 4310100B  20   1   u    0       0         11              2      HB    -4    11      1
 43100C0B  20   1   u    0       0         11              3      HB    -3    11      1
 4330080B  20   1   u    0       0         11              4      HB    -2    11      3
 4330040B  20   1   u    0       0         11              5      HB    -1    11      3
 4330100B  20   1   u    0       0         11              6      HB    -4    11      3
 43300C0B  20   1   u    0       0         11              7      HB    -3    11      3
 4310200E  20   1   u    0       0         12              0      HB    -8    14      1
 43101C0E  20   1   u    0       0         12              1      HB    -7    14      1
 4310180E  20   1   u    0       0         12              2      HB    -6    14      1
 4310140E  20   1   u    0       0         12              3      HB    -5    14      1
 4330200E  20   1   u    0       0         12              4      HB    -8    14      3
 43301C0E  20   1   u    0       0         12              5      HB    -7    14      3
 4330180E  20   1   u    0       0         12              6      HB    -6    14      3
 4330140E  20   1   u    0       0         12              7      HB    -5    14      3
 4340200D  20   1   u    0       0         13              0      HB    -8    13      4
 43401C0D  20   1   u    0       0         13              1      HB    -7    13      4
 4340180D  20   1   u    0       0         13              2      HB    -6    13      4
 4340140D  20   1   u    0       0         13              3      HB    -5    13      4
 4320200D  20   1   u    0       0         13              4      HB    -8    13      2
 43201C0D  20   1   u    0       0         13              5      HB    -7    13      2
 4320180D  20   1   u    0       0         13              6      HB    -6    13      2
 4320140D  20   1   u    0       0         13              7      HB    -5    13      2
 4310200C  20   1   u    0       0         14              0      HB    -8    12      1
 43101C0C  20   1   u    0       0         14              1      HB    -7    12      1
 4310180C  20   1   u    0       0         14              2      HB    -6    12      1
 4310140C  20   1   u    0       0         14              3      HB    -5    12      1
 4330200C  20   1   u    0       0         14              4      HB    -8    12      3
 43301C0C  20   1   u    0       0         14              5      HB    -7    12      3
 4330180C  20   1   u    0       0         14              6      HB    -6    12      3
 4330140C  20   1   u    0       0         14              7      HB    -5    12      3
 4340200B  20   1   u    0       0         15              0      HB    -8    11      4
 43401C0B  20   1   u    0       0         15              1      HB    -7    11      4
 4340180B  20   1   u    0       0         15              2      HB    -6    11      4
 4340140B  20   1   u    0       0         15              3      HB    -5    11      4
 4320200B  20   1   u    0       0         15              4      HB    -8    11      2
 43201C0B  20   1   u    0       0         15              5      HB    -7    11      2
 4320180B  20   1   u    0       0         15              6      HB    -6    11      2
 4320140B  20   1   u    0       0         15              7      HB    -5    11      2
 4340180E  20   1   u    0       0         16              0      HB    -6    14      4
 4340140E  20   1   u    0       0         16              1      HB    -5    14      4
 4340200E  20   1   u    0       0         16              2      HB    -8    14      4
 43401C0E  20   1   u    0       0         16              3      HB    -7    14      4
 4320180E  20   1   u    0       0         16              4      HB    -6    14      2
 4320140E  20   1   u    0       0         16              5      HB    -5    14      2
 4320200E  20   1   u    0       0         16              6      HB    -8    14      2
 43201C0E  20   1   u    0       0         16              7      HB    -7    14      2
 4310180D  20   1   u    0       0         17              0      HB    -6    13      1
 4310140D  20   1   u    0       0         17              1      HB    -5    13      1
 4310200D  20   1   u    0       0         17              2      HB    -8    13      1
 43101C0D  20   1   u    0       0         17              3      HB    -7    13      1
 4330180D  20   1   u    0       0         17              4      HB    -6    13      3
 4330140D  20   1   u    0       0         17              5      HB    -5    13      3
 4330200D  20   1   u    0       0         17              6      HB    -8    13      3
 43301C0D  20   1   u    0       0         17              7      HB    -7    13      3
 4340180C  20   1   u    0       0         18              0      HB    -6    12      4
 4340140C  20   1   u    0       0         18              1      HB    -5    12      4
 4340200C  20   1   u    0       0         18              2      HB    -8    12      4
 43401C0C  20   1   u    0       0         18              3      HB    -7    12      4
 4320180C  20   1   u    0       0         18              4      HB    -6    12      2
 4320140C  20   1   u    0       0         18              5      HB    -5    12      2
 4320200C  20   1   u    0       0         18              6      HB    -8    12      2
 43201C0C  20   1   u    0       0         18              7      HB    -7    12      2
 4310180B  20   1   u    0       0         19              0      HB    -6    11      1
 4310140B  20   1   u    0       0         19              1      HB    -5    11      1
 4310200B  20   1   u    0       0         19              2      HB    -8    11      1
 43101C0B  20   1   u    0       0         19              3      HB    -7    11      1
 4330180B  20   1   u    0       0         19              4      HB    -6    11      3
 4330140B  20   1   u    0       0         19              5      HB    -5    11      3
 4330200B  20   1   u    0       0         19              6      HB    -8    11      3
 43301C0B  20   1   u    0       0         19              7      HB    -7    11      3
 4310300E  20   1   u    0       0         20              0      HB   -12    14      1
 43102C0E  20   1   u    0       0         20              1      HB   -11    14      1
